Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.CodigoMandato;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.CodigoExercicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataLeitura
6112;;Liziane Bayer;Liziane Bayer da Costa;Feminino;Senadora;;;;;REPUBLICANOS;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;612;RS;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;612;RS;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;612;RS;;;;;;;1º Suplente;Titular;6341;Hamilton Mourão;;;;;;;;;
;;;;;;;;;;;;612;RS;;;;;;;1º Suplente;;;;2º Suplente;6380;Coronel Andreuzza;;;;;;
6359;;Lourdinha;Maria de Lourdes Pereira e Pereira;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;602;MA;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;602;MA;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;602;MA;;;;;;;2º Suplente;Titular;4605;Flávio Dino;;;;;;;;;
;;;;;;;;;;;;602;MA;;;;;;;2º Suplente;;;;1º Suplente;6358;Ana Paula Lobato;;;;;;
5926;905;Lucas Barreto;Luiz Cantuária Barreto;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5926;;sen.lucasbarreto@senado.leg.br;PSD;AP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;543;AP;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;543;AP;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;543;AP;;;;;;;Titular;;;;1º Suplente;5927;Paulo Albuquerque;;;;;;
;;;;;;;;;;;;543;AP;;;;;;;Titular;;;;2º Suplente;5928;Patricia Costa;;;;;;
;;;;;;;;;;;;543;AP;;;;;;;Titular;;;;;;;2955;2020-04-20;;;;
;;;;;;;;;;;;543;AP;;;;;;;Titular;;;;;;;2921;2019-02-01;2019-12-16;LS;Licença saúde;2019-12-17
6014;;Luciana Leão Muniz;Luciana Leão Muniz;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;555;BA;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;555;BA;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;555;BA;;;;;;;2º Suplente;Titular;581;Jaques Wagner;;;;;;;;;
;;;;;;;;;;;;555;BA;;;;;;;2º Suplente;;;;1º Suplente;5554;Bebeto;;;;;;
1186;860;Luis Carlos Heinze;Luis Carlos Heinze;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/1186;;sen.luiscarlosheinze@senado.leg.br;PP;RS;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;574;RS;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;574;RS;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;574;RS;;;;;;;Titular;;;;1º Suplente;6015;Ireneu Orth;;;;;;
;;;;;;;;;;;;574;RS;;;;;;;Titular;;;;2º Suplente;6016;Drica de Lucena;;;;;;
;;;;;;;;;;;;574;RS;;;;;;;Titular;;;;;;;2919;2019-02-01;;;;
5968;;Luis Felipe Belmonte;Luis Felipe Belmonte dos Santos;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;552;DF;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;552;DF;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;552;DF;;;;;;;1º Suplente;Titular;4770;Izalci Lucas;;;;;;;;;
;;;;;;;;;;;;552;DF;;;;;;;1º Suplente;;;;2º Suplente;5969;Andre Filipe;;;;;;
6370;;Luis Felipe Cunha;Luis Felipe Cunha;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;608;PR;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;608;PR;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;608;PR;;;;;;;1º Suplente;Titular;6331;Sergio Moro;;;;;;;;;
;;;;;;;;;;;;608;PR;;;;;;;1º Suplente;;;;2º Suplente;6371;Ricardo Guerra;;;;;;
5904;;Macapá;José Eugênio de Leão Braga;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;536;AC;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;536;AC;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;536;AC;;;;;;;2º Suplente;Titular;285;Marcio Bittar;;;;;;;;;
;;;;;;;;;;;;536;AC;;;;;;;2º Suplente;;;;1º Suplente;5902;Eduardo Velloso;;;;;;
631;869;Magno Malta;Magno Pereira Malta;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador631.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/631;;sen.magnomalta@senado.leg.br;PL;ES;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;600;ES;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;600;ES;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;600;ES;;;;;;;Titular;;;;1º Suplente;6354;Marcinha Macedo;;;;;;
;;;;;;;;;;;;600;ES;;;;;;;Titular;;;;2º Suplente;6355;Tenente Emerson;;;;;;
;;;;;;;;;;;;600;ES;;;;;;;Titular;;;;;;;3011;2023-02-01;;;;
5981;;Major Ildomario;Ildomario Santos Gomes;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;559;SE;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;559;SE;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;559;SE;;;;;;;2º Suplente;Titular;5982;Alessandro Vieira;;;;;;;;;
;;;;;;;;;;;;559;SE;;;;;;;2º Suplente;;;;1º Suplente;5980;Fernando Carvalho;;;;;;
5666;990;Major Olimpio;Sergio Olimpio Gomes;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5666.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5666;;sen.majorolimpio@senado.leg.br;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;570;SP;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;570;SP;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;570;SP;;;;;;;Titular;;;;1º Suplente;6008;Giordano;;;;;;
;;;;;;;;;;;;570;SP;;;;;;;Titular;;;;;;;2936;2019-02-01;2021-03-19;FAL;Falecimento;
6352;;Manoel Arruda;Manoel Coelho Arruda Junior;Masculino;Senador;;;;;UNIÃO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;599;DF;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;599;DF;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;599;DF;;;;;;;1º Suplente;Titular;6335;Damares Alves;;;;;;;;;
;;;;;;;;;;;;599;DF;;;;;;;1º Suplente;;;;2º Suplente;6353;Pastor Egmar;;;;;;
5376;847;Mara Gabrilli;Mara Cristina Gabrilli;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5376;;sen.maragabrilli@senado.leg.br;PSD;SP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;569;SP;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;569;SP;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;569;SP;;;;;;;Titular;;;;1º Suplente;3651;Alfredo Cotait Neto;;;;;;
;;;;;;;;;;;;569;SP;;;;;;;Titular;;;;2º Suplente;6007;Ivani Boscolo;;;;;;
;;;;;;;;;;;;569;SP;;;;;;;Titular;;;;;;;2922;2019-02-01;;;;
742;813;Marcelo Castro;Marcelo Costa e Castro;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/742;;sen.marcelocastro@senado.leg.br;MDB;PI;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;539;PI;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;539;PI;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;539;PI;;;;;;;Titular;;;;1º Suplente;5910;José Hamilton;;;;;;
;;;;;;;;;;;;539;PI;;;;;;;Titular;;;;2º Suplente;5911;Rosário Bezerra;;;;;;
;;;;;;;;;;;;539;PI;;;;;;;Titular;;;;;;;2923;2019-02-01;;;;
5915;;Marcia do Angico;Maria Márcia Rodrigues de Almeida;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;525;PE;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;525;PE;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;525;PE;;;;;;;2º Suplente;Titular;5008;Humberto Costa;;;;;;;;;
;;;;;;;;;;;;525;PE;;;;;;;2º Suplente;;;;1º Suplente;5914;Waldemar Oliveira;;;;;;
6354;;Marcinha Macedo;Marcia Cristina Macedo Silva;Feminino;Senadora;;;;;PL;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;600;ES;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;600;ES;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;600;ES;;;;;;;1º Suplente;Titular;631;Magno Malta;;;;;;;;;
;;;;;;;;;;;;600;ES;;;;;;;1º Suplente;;;;2º Suplente;6355;Tenente Emerson;;;;;;
285;849;Marcio Bittar;Marcio Miguel Bittar;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/285;;sen.marciobittar@senado.leg.br;UNIÃO;AC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;536;AC;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;536;AC;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;536;AC;;;;;;;Titular;;;;1º Suplente;5902;Eduardo Velloso;;;;;;
;;;;;;;;;;;;536;AC;;;;;;;Titular;;;;2º Suplente;5904;Macapá;;;;;;
;;;;;;;;;;;;536;AC;;;;;;;Titular;;;;;;;2994;2022-10-15;;;;
;;;;;;;;;;;;536;AC;;;;;;;Titular;;;;;;;2924;2019-02-01;2022-05-31;LCS;Licença com convocação de suplente (sup 120 dias);
5422;868;Marcos Rogério;Marcos Rogério da Silva Brito;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5422;;sen.marcosrogerio@senado.leg.br;PL;RO;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;576;RO;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;576;RO;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;576;RO;;;;;;;Titular;;;;1º Suplente;6021;Dr. Samuel Araújo;;;;;;
;;;;;;;;;;;;576;RO;;;;;;;Titular;;;;2º Suplente;6022;Pastor Severino;;;;;;
;;;;;;;;;;;;576;RO;;;;;;;Titular;;;;;;;3042;2023-06-12;;;;
;;;;;;;;;;;;576;RO;;;;;;;Titular;;;;;;;2926;2019-02-01;2022-12-14;LCS;Licença com convocação de suplente (sup 120 dias);
6287;;Marcos de Souza Costa;Marcos de Souza Costa;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;567;TO;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;567;TO;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;567;TO;;;;;;;1º Suplente;Titular;5385;Irajá;;;;;;;;;
;;;;;;;;;;;;567;TO;;;;;;;1º Suplente;;;;2º Suplente;6004;Terciliano Gomes;;;;;;
5942;862;Marcos do Val;Marcos Ribeiro do Val;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5942;;sen.marcosdoval@senado.leg.br;PODEMOS;ES;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;547;ES;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;547;ES;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;547;ES;;;;;;;Titular;;;;1º Suplente;5944;Rosana Foerst;;;;;;
;;;;;;;;;;;;547;ES;;;;;;;Titular;;;;2º Suplente;5945;Ronaldo Libardi;;;;;;
;;;;;;;;;;;;547;ES;;;;;;;Titular;;;;;;;2925;2019-02-01;;;;
6304;910;Margareth Buzetti;Margareth Gettert Busetti;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6304.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6304;;sen.margarethbuzetti@senado.leg.br;PSD;MT;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;592;MT;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;592;MT;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;592;MT;;;;;;;1º Suplente;Titular;6295;Carlos Fávaro;;;;;;;;;
;;;;;;;;;;;;592;MT;;;;;;;1º Suplente;;;;2º Suplente;6305;José Esteves de Lacerda Filho;;;;;;
;;;;;;;;;;;;592;MT;;;;;;;1º Suplente;;;;;;;3036;2023-02-02;;;;
;;;;;;;;;;;;592;MT;;;;;;;1º Suplente;;;;;;;3007;2023-01-02;2023-01-31;RET;Retorno do titular;
;;;;;;;;;;;;592;MT;;;;;;;1º Suplente;;;;;;;2982;2022-06-07;2022-10-05;RET;Retorno do titular;
5909;;Maria Alice;Maria Alice Melo de Araújo;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;520;AC;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;520;AC;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;520;AC;;;;;;;2º Suplente;Titular;4560;Sérgio Petecão;;;;;;;;;
;;;;;;;;;;;;520;AC;;;;;;;2º Suplente;;;;1º Suplente;5908;Maria das Vitórias;;;;;;
6019;937;Maria Eliza;Maria Eliza de Aguiar e Silva;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6019.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6019;;;MDB;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;575;RO;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;575;RO;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;575;RO;;;;;;;1º Suplente;Titular;475;Confúcio Moura;;;;;;;;;
;;;;;;;;;;;;575;RO;;;;;;;1º Suplente;;;;2º Suplente;6020;Carlos Milton Morais;;;;;;
;;;;;;;;;;;;575;RO;;;;;;;1º Suplente;;;;;;;2971;2021-09-28;2022-01-24;RET;Retorno do titular;
5994;;Maria da Taiçoca;Maria da Conceição dos Anjos;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;579;SE;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;579;SE;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;579;SE;;;;;;;2º Suplente;Titular;5352;Rogério Carvalho;;;;;;;;;
;;;;;;;;;;;;579;SE;;;;;;;2º Suplente;;;;1º Suplente;5993;Jorge Mitidieri;;;;;;
5908;911;Maria das Vitórias;Maria das Vitórias Soares de Medeiros;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5908.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5908;;sen.mariadasvitorias@senado.leg.br;PSD;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;520;AC;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;520;AC;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;520;AC;;;;;;;1º Suplente;Titular;4560;Sérgio Petecão;;;;;;;;;
;;;;;;;;;;;;520;AC;;;;;;;1º Suplente;;;;2º Suplente;5909;Maria Alice;;;;;;
;;;;;;;;;;;;520;AC;;;;;;;1º Suplente;;;;;;;2983;2022-07-06;2022-11-03;RET;Retorno do titular;
6002;;Marinho Cunha;Marcos Antônio Marinho da Cunha;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;566;PA;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;566;PA;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;566;PA;;;;;;;2º Suplente;Titular;3806;Zequinha Marinho;;;;;;;;;
;;;;;;;;;;;;566;PA;;;;;;;2º Suplente;;;;1º Suplente;6001;Arlindo Silva;;;;;;
6388;;Mauricio Buffon;Mauricio Buffon;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;615;TO;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;615;TO;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;615;TO;;;;;;;2º Suplente;Titular;5386;Professora Dorinha Seabra;;;;;;;;;
;;;;;;;;;;;;615;TO;;;;;;;2º Suplente;;;;1º Suplente;6387;Professora Lu;;;;;;
6362;925;Mauro Carvalho Junior;Mauro Carvalho Junior;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6362.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6362;;;UNIÃO;MT;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;621;MT;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;621;MT;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;621;MT;;;;;;;1º Suplente;Titular;1173;Wellington Fagundes;;;;;;;;;
;;;;;;;;;;;;621;MT;;;;;;;1º Suplente;;;;2º Suplente;6363;Rosana Martinelli;;;;;;
;;;;;;;;;;;;621;MT;;;;;;;1º Suplente;;;;;;;3043;2023-07-05;;;;
6027;881;Mecias de Jesus;Antônio Mecias Pereira de Jesus;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6027;;sen.meciasdejesus@senado.leg.br;REPUBLICANOS;RR;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;578;RR;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;578;RR;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;578;RR;;;;;;;Titular;;;;1º Suplente;6025;Enfermeira Roberta;;;;;;
;;;;;;;;;;;;578;RR;;;;;;;Titular;;;;2º Suplente;6026;Afonso Parente;;;;;;
;;;;;;;;;;;;578;RR;;;;;;;Titular;;;;;;;2890;2019-02-01;;;;
5935;;Miguel Biango;Miguel Capobiango Neto;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;521;AM;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;521;AM;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;521;AM;;;;;;;2º Suplente;Titular;4994;Eduardo Braga;;;;;;;;;
;;;;;;;;;;;;521;AM;;;;;;;2º Suplente;;;;1º Suplente;5038;Sandra Braga;;;;;;
5897;;Milton Mercêz;Milton Jose das Mercêz;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;533;GO;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;533;GO;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;533;GO;;;;;;;2º Suplente;Titular;5895;Jorge Kajuru;;;;;;;;;
;;;;;;;;;;;;533;GO;;;;;;;2º Suplente;;;;1º Suplente;5896;Benjamin Beze Junior;;;;;;
5997;933;Nailde Panta;Nailde Fernandes Panta da Silva;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5997.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5997;;;PP;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;565;PB;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;565;PB;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;565;PB;;;;;;;2º Suplente;Titular;5998;Daniella Ribeiro;;;;;;;;;
;;;;;;;;;;;;565;PB;;;;;;;2º Suplente;;;;1º Suplente;5996;Diego Tavares;;;;;;
;;;;;;;;;;;;565;PB;;;;;;;2º Suplente;;;;;;;2961;2021-01-06;2021-01-21;RET;Retorno do titular;
5985;858;Nelsinho Trad;Nelson Trad Filho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5985;https://www.nelsinhotrad.com.br/;sen.nelsinhotrad@senado.leg.br;PSD;MS;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;560;MS;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;560;MS;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;560;MS;;;;;;;Titular;;;;1º Suplente;5983;José Chagas;;;;;;
;;;;;;;;;;;;560;MS;;;;;;;Titular;;;;2º Suplente;5984;Professora Bazé;;;;;;
;;;;;;;;;;;;560;MS;;;;;;;Titular;;;;;;;2927;2019-02-01;;;;
63;948;Ney Suassuna;Ney Robinson Suassuna;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador63.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/63;;sen.neysuassuna@senado.leg.br;REPUBLICANOS;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;564;PB;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;564;PB;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;564;PB;;;;;;;1º Suplente;Titular;5748;Veneziano Vital do Rêgo;;;;;;;;;
;;;;;;;;;;;;564;PB;;;;;;;1º Suplente;;;;2º Suplente;5995;Suely Santiago;;;;;;
;;;;;;;;;;;;564;PB;;;;;;;1º Suplente;;;;;;;2958;2020-09-29;2021-01-21;RET;Retorno do titular;
